buyer_address,buyer_shares,buyer_uint_term
0x3eaE133204bfA92A6f9BDCd279cbfe67921c07Eb,50,7776000
0x1f069FB4d23927f5c13C7CfE96894E88192aa856,1708,11457609
0x92cE35a438C37FA648F98994B96e77FF004d7fbD,41,7776000
0x22a8aC127Cff53D16a76B2F68aaf71f85B402004,44,7776000
0xD9eB2a0Ca29294298b3C0D5d48B94AFEFbD1c0DE,70,75414856
0xcBdCBc57E3363a505C2B55d7DeB997c29F5Eb747,73,101821807
0x02B3d4378156009E000Ef4A5B92026F3C0aE7E5b,304,76084293
0xC539BCcD78c1e114a7BF100Df9f3B14f5Cc7b863,100,126144000
0xceD15fc2a8E421e0b16F5eFb8FD0663CFb84932B,50,7776000
0xdA92910778337E7F423E88fc267D6CcECfDA0172,100,126144000
0xD2970eeCfc0cdCB8e94b1D05fc825fcC43cA1c53,50,7776000
0xFA5837545A05e3FcD8EfF9Cb015Ee67Ad439df86,50,7776000
0xAe5dE2415228cE5D793717e9878A947Fff70C6c3,100,126144000
0x61e59742771876AEF08A7732c7882FD60f2cD6c7,100,126144000
0x01A78DaAa7d70CD7149d0860265755b9108a6252,50,7776000
0xffD1d00554Ea254F267d3f73658D6EE69fBdEe52,47,7776000
0x780a6A85FbBf91e0199DFE33f20cF12Aa0f4430A,8478,1191000
0x9B61561F224B252290Ae161Eb12414a1A6eE5053,100,126144000
0xb130F3cE9c44c782E190A095D43D3Ff7016177ED,143,88394449
0xfc963A93457c5644E51D955F3B2D3012e27aB3Dd,504,26096221
0xC24A2F37D6781D8F5d46C7fBa9fe2Ae0DDe65Caa,100,126144000
0x2B56cc701e004f336be58aC110A8281B691d5C20,100,126144000
0x1F7Da94F8Ffb08Ef04809E588A060224c4137877,50,7776000
0x40bb7Adb1522447Bd2E2F57950a8aFdd12CBc6B8,50,7776000
0x582ca7e0B63F1f87add6A49459a28b590F9cA3d5,75,86687999
0x85778A075571CD129f68DE256C222472d5d33Acb,50,7776000
0x57513812cFa13CCf9b1E86d181C78591D233CFbc,450,33724798
0x58DE83a94c43f3ACca016107eAAef2fc1b7997e8,50,7776000
0xd0F094f065bCBD2e2F75A398bD25c2346e2247D7,50,7776000
0x9C5d846415347062a55616758A91B1182431e365,500,3825788
0xB48EC01849e8207a5a734e588510Dad5c668aFB8,50,7776000
0x4a59E8A04842C60f5FE2eBf7e7dE5dDbd10A991D,50,7776000
0x9fA5921eF2012f37B9E8911a647cA34c92e46045,100,126144000
0x72Aa4850D323D365295Cff7C98cC2dF013149262,50,7776000
0x92D48c4DE995677efEC025aA53D570cc7A882cd9,100,126144000
0x05e5ab383f3C2D423cFd118B83420261ab0990Bc,1464,11324116
0x019D168f206834A84a0BF16De96A40B4228FBD87,108,126144000
0x3C46a8D627F025fC754629AF61FFa3Ac131B7388,200,63979200
0xbc8A0cc166e42Ea12FcAF6EE8D78bFF71A0D2bd8,50,7776000
0x1aca371E54A19cF255eD4F8aC6aa82AbEa7ad881,50,7776000
0xf44Eb9A9AC0BE17441A96F94341dFE77c2E41638,50,7776000
0x8Cd0faD27Cf780dE2B1813859b4F8170E6323Dea,100,126144000
0xF7Ce6C47275c83f76A2629Fc9Ea29c8B988e6cD1,199,3402160
0xc0C4EA252FcBb5FC74Cd1c6B3B049Bebedf0ADe2,53,7775999
0xf5eaA845c254caeb61131dA36EED31012a94AEe0,121,5164005
0xF5b1CE61ac45e5BfeE6a35de8881d3a7EBd45653,85,77404234
0x5A8eFb970eC4422Dc7D46477BF3841B42E2CB772,784,4983755
0xB8e9c0F012d5f4255e8181fD747A7Fc3842bB1C1,60,7776000
0xf223d6B284F43363f52eC216610dF8a09D62510c,117,126143996
