wallet_address,chain,grain_remaining,cdx_allocation
0xdf56AC0d5261331ee5d46b4E8Bd846093Bd34cb1,FTM,14.01,1.077767036
0xc88bafEF5484b3291d4306Bc823997cC98293F2b,FTM,14.20,1.092383965
0xD131F1BcDd547e067Af447dD3C36C99d6be9FdEB,FTM,14.44,1.110518766
0x238643d4106c7c6206f8Dc31acb59Cd24C979D12,FTM,14.44,1.110846031
0xA8B4baA614e4Af59e78AFD60aCCD14Edc459C646,FTM,14.51,1.11577033
0xF5bF3B7B7D03EfD34BA1E1BcF1694080975d8A1c,FTM,14.58,1.121220237
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,ARB,14.65,1.126945118
0x2E8C9d0c1AEB6892805a86eFF11E671178eC282F,FTM,7.39,1.137201075
0xBBf357C4929ec4e21C0bF8E06C68743C101a6100,FTM,7.75,1.192435909
0x70cBE5945215803d1a185225FF18E173B3EE43B9,FTM,7.78,1.197251786
0x88D525521d7066B3Feb44a231357455697068D76,FTM,7.80,1.199638781
0xf1c91CC62F7FB6De3820434030788E30bA273f7F,ETH,15.63,1.202074492
0xB0B25FE59dCc24EcbFdCE661870109089C10264d,FTM,8.05,1.238105983
0x363dc77b9620a29daF0Ddf5aC398049e938A776B,FTM,8.13,1.250558258
0xeB1BcBfEC30297E70ce7Fda0a6729A233c957117,FTM,8.27,1.272365532
0xe227720B9435ec3d2CE854eccEC4E7c510E25c32,FTM,8.27,1.272365532
0xDD7F11DcDe011531BBA97bd234c154c6600BA2C3,FTM,8.27,1.272365532
0xdb6a08918CDEAa93dC7E440E28028c57028CC5F2,FTM,8.27,1.272365532
0xD2b4Bce9897329F12E4Ec4287D2a675b9c9Cb4F6,FTM,8.27,1.272365532
0xAdF0b51570ca1944324D6041B91E3F4001E9A4dE,FTM,8.27,1.272365532
0xa295A57738dbD5F6d59630586434f6279BCDAeFf,FTM,8.27,1.272365532
0x93310e36aAE7F2030e61E5562F5f1687d8fA2Af1,FTM,8.27,1.272365532
0x8B4441E79151e3fC5264733A3C5da4fF8EAc16c1,FTM,8.27,1.272365532
0x80Dac9ceB62FDa47C5414fB8DFB0E04D64Af41e3,FTM,8.27,1.272365532
0x800aFe8e5516BAb102861C1D808d9C23063c85c3,FTM,8.27,1.272365532
0x62B76AEf1D5e16634152c9EB53db081B1ce503bB,FTM,8.27,1.272365532
0x580B408A619E7a6f7147b7883b4ce45986CF00E5,FTM,8.27,1.272365532
0x36de6d01ab563d3E0Fd7661c75dcE8202AA82649,FTM,8.27,1.272365532
0x2B4bAFfE476Dd7f9C610aF39909b1367806bbd20,FTM,8.27,1.272365532
0x6e3A6D1576bDAAE1Cb922d817C4df2feF9C8Fc14,ARB,16.83,1.294689546
0xe027880CEB8114F2e367211dF977899d00e66138,FTM,17.56,1.350435464
0x712a81B587AbcaA64EA8FF2F0201F2379BF120E7,ARB,17.92,1.378091599
0xa3089EB72A33B02a20B1f12740506E54Bcd1A884,FTM,9.03,1.389151212
0x477887A3B0e730A0c4B7ccf55aB086001ec4d633,FTM,18.71,1.438859184
0xBceAbdF15e986c5BD79B22f5C432146cdb86d845,FTM,19.07,1.466953475
0x91870196BdabcC219b8D64cebD173c0B8106DE7e,ARB,19.28,1.482914624
0xA58Db6eb6D41206fA4d530e9Fb235015bABDf55C,BNB,19.37,1.490093917
0x70aBb00D2D8C91D1AF258813077f5578E36cc465,FTM,9.75,1.499630044
0x9b25235ee2e5564F50810E03eA5F91976A8EE6fA,FTM,19.53,1.502592889
0x879867c28a335F5EC2439630B3C84587AbEC8469,FTM,19.53,1.502592889
0xb85CA8B4EE48c5b00db26De546C1DF24c77db7B7,FTM,19.72,1.516891569
0xd2801e7bf6A72CCE1ec225bb007A26815AFF9878,BNB,19.83,1.525048427
0xDBcfCF489FAA6A6D068BdD71f130da5F1526d51F,ARB,20.08,1.544295268
0x318a410a22941eCB72391046e8a81482F14bb5dA,FTM,10.12,1.557359703
0xDDbd43bbcB8dCBEc57A02390F56a459927B059b8,OP,20.30,1.561531217
0xaf180Eca9f82f96B2Bbc4e1D08E82BC346F7D511,ARB,20.36,1.566339216
0x08eEA074E18321BCDF3A2A93e987D74Ef9D80400,ARB,20.70,1.592209368
0xA58Db6eb6D41206fA4d530e9Fb235015bABDf55C,OP,21.18,1.629142515
0x00f6Dc16D719751FDBB44910D98C793FC45A736A,ARB,21.89,1.68420866
0xd95dc82Da062969C1A89FE9788151333944f04fA,ARB,22.07,1.697321793
0x8a59Ea01E629A3E8443F2821A986DD626333d2Ad,ARB,22.13,1.70234887
0x60b21BD63ef0af04A9C9198Ad5274E751A33e49b,ARB,22.24,1.710551227
0x70469e390Db16B7228a997F239160bd3a646F234,FTM,11.30,1.737695754
0x07220FFe539daF355F6b51d576aA249EFA385FeA,ARB,22.60,1.738562575
0x44821E910e6b53B6c9a416abAd4Ec40e35463DEC,ARB,23.22,1.786007866
0x71803A1718B861c4A86B4bd8C3762cFCE7D98fDe,FTM,11.65,1.791758527
0xe027880CEB8114F2e367211dF977899d00e66138,OP,23.30,1.792107795
0x10bCCD1159D3086E7c8169117d839738206F989a,OP,23.44,1.803112188
0x882C8e57Cf50ea8563182D331a3ECf8C99e953Cf,ARB,23.51,1.808233929
0xFa3E890502bED23c8c5368Fc87c784F4Cb2b4868,ARB,24.03,1.848609217
0xDaAb06A2611095939d61300030701908Af24590b,OP,24.16,1.85882565
0x91f4e48384F775B819C77C4901Db6CA6e2E92B80,FTM,24.44,1.87985084
0x46643Ae92dD69a9660cE344BFA76dF2EE81132Dc,FTM,24.56,1.889564205
0x64479BaB91eC44DB51008Ec56E16fDAa7738Bbe3,FTM,24.61,1.893267798
0x73c748b5f99c3507F11Fb8fa2eA5e3B8f4F9a1d1,OP,24.67,1.898012688
0x06Edb03F407E4BCFa77BEAAc3504E9d958b47b58,MATIC,24.67,1.898012688
0x16f53d797690Fd9a3ee0679c27F4ed7CaBDC7bA6,FTM,25.58,1.967959917
0xb2D555044CdE0a8A297F082f05ae6B1eFf663784,FTM,12.91,1.986808876
0xac4eE36ae6Fd865766549B69C3B08660F277ab40,ARB,26.39,2.02968225
0x944398325aE8B4971C5fd08255CfDA66f59C7dF8,FTM,13.39,2.060064979
0x309b38B3dd5f87f7b076cC86803e40Ba1FB8A24c,FTM,26.82,2.063091215
0x0e4F32590203adBF7aFE69A72fB0862D1bc17f32,FTM,13.67,2.103043834
0x6c34B59083165285081C8405f1FDAd58c59BdB40,FTM,27.74,2.13350545
0xbD07C5a0c16fed711326174a2E6331d15EA65D24,METIS,27.98,2.152623849
0xED0e22B66F128367F5Ffd2b7280EFDdD12AcC243,FTM,28.41,2.185026676
0x680F628f9c50A1178ECaFC2F67a218379e497211,FTM,14.34,2.206646067
0xDaAb06A2611095939d61300030701908Af24590b,FTM,28.69,2.206878593
0xD06fEe44914F8047525CDc726f2b805fb409A3Cd,BNB,29.22,2.247569737
0x0c0f1a11b220fd1d53306F67b9327CDeb31D662b,BNB,29.30,2.253890235
0x73edcD0F5cF8DF7a3e1d11ef5d696c266d996F9D,ARB,29.30,2.253890235
0x86A6D62462acfDA4d4F9900d43500e89923728CC,OP,29.30,2.253890235
0x1277255B8e274C8a753EeA277aA62115bAeD21Eb,OP,29.30,2.253890235
0xf27071c352D1845C101d8181Aa4ea70f8d0d6b68,MATIC,29.30,2.253890235
0x6bDc653284bF4DC4A60c2da77057ceF42B556034,FTM,29.86,2.297302866
0xe729986A4B0aEc7F13321C9376f1b6c7ac4f8585,FTM,29.87,2.297660784
0x85778A075571CD129f68DE256C222472d5d33Acb,FTM,15.03,2.311554045
0xB4Ed1A39491C83219764152E4DC68944d5547947,FTM,15.14,2.329529978
0x938EF8eB7d92B548714A1c2f4cF02581b449b68f,FTM,30.76,2.365968984
0x728aad5445E7a1727b67B5b30Aa153f5851ae274,FTM,30.92,2.378542987
0x69E24369BfEda80348BD5104dF01C4d8b33ECFF9,BNB,31.25,2.403480845
0x68FCd0c2B6A0AF11a97C4547c7Cb0947c2F63d9a,FTM,31.35,2.411662552
0x493835EABf6B53f503Ac8Ea288e2aEFdEcFC3Cd6,OP,31.41,2.41594855
0x7fA13526C6b6513D2599c4B6083ba4efe97950B8,METIS,31.72,2.440107548
0xb045458c8bc244D67dc40f07e2c75A22dc403F4b,FTM,16.19,2.49079477
0x72Ad9804F61bdA81E85EFA4cD650Cb0D1EEc2822,FTM,16.44,2.528673037
0xbe17f75819Bf9053Efeb8aaA69B44B694c4B1179,FTM,16.54,2.544731064
0xA37a8C45D8eD319AA3aA382948Cb7e13D2dE3dd9,FTM,16.54,2.544731064
0x2c2187acEeda6d9211412b8f4d4e55373F697f40,FTM,16.54,2.544731064
0xf241E1c926236D8100A696EbE1b4793F06eAD712,OP,35.00,2.692525224
0x0955dadE18270C6e61C29e498b314924Cfd830C8,FTM,35.58,2.737013411
0x89e648d36d3D67C4e9b70113308A968ACcbe7ee9,FTM,35.69,2.745238307
0xe027880CEB8114F2e367211dF977899d00e66138,ARB,36.00,2.769100694
0x650F974d4F526E2B6a0008d3B514c4044054BEcE,ARB,36.98,2.844434721
0xF6910d1Bc695D905Be5BEf9Bf51f90EC814D2cD3,BNB,37.86,2.912635504
0x1633f45047A90DA9405D16422DC22e7e9be4703c,FTM,19.42,2.987415912
0x4BD08897e21b739c7DA42Caa490f71065bfD7cdA,BNB,38.99,2.998892074
0x1AA91dDd23D3007c47d70958bf1bC28EAB48398C,ARB,39.36,3.02804834
0x7a5F3e1eEf70766351d38ce4EB08D854A8E13a5b,ARB,40.40,3.107561079
0x7178a7359549F888bC974fc3dcfa9CB63b528412,ETH,41.75,3.211885544
0x6c34B59083165285081C8405f1FDAd58c59BdB40,MATIC,44.36,3.412002147
0x6C4FC4Dd68Fddcb8a6eBf8BaAaa0eBB727D8cc63,FTM,44.53,3.425718422
0x19c2A0E1398Ba78C00AF784fDEc4cD0bBE70A392,ARB,44.68,3.436744453
0xa182dD254f6d72294D650c57d9B035660fB13a1E,FTM,44.84,3.449313046
0xcDd649e17A053f0BF31D9699Ab20F13f28764447,OP,46.88,3.606224377
0xb660cF7E043306965D8880CAce6AFbC671FEb99f,FTM,24.81,3.817096596
0x8a818C1A83C39e5bB5eEEf54FEF305ee194ef185,FTM,24.81,3.817096596
0x65D3FeBC3112cef66BE36df9A62Ac0f94079BD42,FTM,24.81,3.817096596
0x0F5f587622CF78199d91f900a65CAaA70326c295,FTM,24.81,3.817096596
0x0f57FdBCa7eb3a91bc2C8B2408c8cB562d3d0092,FTM,24.81,3.817096596
0x9F6d8d7c57E989FEdf1D50d9Cf66c91DEf446405,METIS,50.45,3.88086541
0x8037cceBEbB5aF26459D6eF3AA974E2D65Fb7c05,FTM,50.60,3.891945534
0x80fba1f1F11b7f4e2bbF0197DA045Fb82002C9DA,FTM,50.67,3.897710985
0xBaf88B32025AEAEFEE010013dA46098382475DdC,MATIC,50.70,3.899974793
0xFe8427a949048D14BB26778FA1253D79aAdAB6EE,ARB,50.92,3.916675218
0x6534ffCb2D8341eB5ee998000474F9b5D6ABfA6A,FTM,25.48,3.919668795
0xCF8BE0c141fB112eAF8fcC9b8406CBEdbC6F296D,OP,51.37,3.951670921
