tx_hash,trove_owner,collateral_redeemed,number_of_collateral_tokens,debt,operation,timestamp,block_number
0x9a523a8fd97f1a8724de232b4aa3ef5793d8c7202b98ddfaf8df7b55cee3f417,0x97D37E8B619cF4C6145da456766CA4FA157292D3,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,3469708615249645837438,1795910000000000000000,2,1708233826,56068966
0x142cb6adcee79ba793b52961347ddca8b26635e2da6577cff5e49005bafdc502,0xD0d9E3505349BC945A414A6EC8fF8bcaDAbF20e3,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,1,1708230197,56057416
0x5fa003fae24dfae9a91ed217ff7b6e8f33eed2e53d11e51ea5307a91672fde2e,0x0c7BE72E04d4aFa9D848c7346f6984Ed3f41e4e0,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,8000000000000000000,15080000000000000000000,0,1708193089,55928315
0xe4daa14b3e9f60daedaef5df8751c95965c892adfa9efa881a7656234396cd0f,0xc6F37fD79af8e95a195BF48059Ab070C32DfF01E,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,1,1708184553,55901125
0x9d442cc53a541974fa9aad3853644f9cad868cb243e0c7bbde63208071f44764,0x97D37E8B619cF4C6145da456766CA4FA157292D3,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,3469708615249645837438,1494410000000000000000,2,1708149103,55772475
0x6bbf8683efbfd9e8ba640081b5364fa0d36598d1e0587d4ce452b46c506b1e5e,0x5897eABd827d38A5A8042051b9210bF6802e89D6,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,53530974506061228,119570000000000000000,0,1708128202,55710580
0xed2f4d072655af19abe9b453217a8545d0a9c363cd4c61e9bbdd3edab5861afc,0xD71d837b8ce264E9A24aCF9CdaEED32628acfcc0,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,1,1708125468,55704780
0x62abb32be20a5cae93632a27407d90ef91e7e1da5f8a8ed2f27c3a49c65ff6e4,0xBd5B329FC929154A61f9Cfb0736f001779ef8979,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1553679575011789924891,809000000000000000000,0,1708113719,55670159
0x76ae3cd403c45760108cf3cfbb0b4bc328d45db1b43abc2445419d12d05dd819,0xc6F37fD79af8e95a195BF48059Ab070C32DfF01E,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,51749555308125954,120575000000000000000,0,1708085995,55597809
0x514eaae3ff1ee2fc6f9b56f2689d975ef837dd18fed9ceb94d09a547d95cd094,0x5Be66f4095f89BD18aBE4aE9d2acD5021EC433Bc,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1234247559798696170467,401221250000000000000,2,1708083729,55591307
0xf8a42435db5ce7d71ab4dd859dd7777f43f6c07dee5f995ddf6ab431ff2f795b,0x53c76EDEB3B27ba1b14FaaD18adFc6B17408C471,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,1400000000,1110500000000000000000,0,1708046363,55470173
0x53cd9418fc9fc986db0b2d81ae9448edf94a02ab09799197a894e5aafceef16c,0x37eedb7AC276bD6c894e81B8937b0b0BAB154E22,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,1100000000,708500000000000000000,0,1708044247,55464163
0xc4aecdbdd9fc0fe15cb17195342244b212f46327bce814f779899b9b708addc6,0x329CfE850FF4CF637aa2353ef2D3672156E54d6C,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,7250496569488062558,10040930000000000000000,2,1708036673,55435494
0xbd2f581b2928d199b1d763361a267e7c2ee5d58cbaf9350c21bab739a0f84969,0x6D3B90747dbf5883bF88fF7Eb5fCC86f408b5409,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,10000058340000000000,21914000000000000000000,2,1708016218,55354328
0x416b6eb0f59d8b3f48d750b74ffceae8fe30276eeeea8f8142c067665be4a261,0x8d893429b077455f0dB9bc005536f441785eEeb2,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,377400000000000000,407000000000000000000,0,1708000905,55315365
0x37e3f981764f04cb3732291e43d0b844aa2d954e4ba76b916c9d50995c48ef41,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3220654335402790623,6638000000000000000000,0,1707999633,55311747
0xcb496466c6f91c103ac759cbf5d0149ce7302d602eaa59cc365f258e2bd8231f,0xC347Bc1c1d6d57Be8d2478b41684Ed18E60DBC58,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,2371503725,2165750000000000000000,0,1707988346,55274031
0x2c6f1c07f650c78eb3d98f91fbbee23609225cbb18f82e20a05d5f4e00e0182b,0xecd01ce2eb33fc1B4588a9f61Ce62B5012569104,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,535422360216389197722,346700000000000000000,0,1707986706,55266739
0x77aded9b1c4ce048df68bef74c62c32cd70c1a2bc5297f9ed113702c7da879a0,0x0c7BE72E04d4aFa9D848c7346f6984Ed3f41e4e0,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,9269000002,7040000000000000000000,2,1707973616,55199537
0x0581b4042773a18196de0be9a301d62be3951ce712a5b170bcb36b84a4eeb9e5,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,15000000000,13572500000000000000000,2,1707966385,55155424
0x74dff9634b9b0a56acbd1688905720e6c985cb9a1dfbfe2c42c25838740feaf2,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,11000000000,10055000000000000000000,0,1707961420,55134930
0x728774da4a9e9b40efd6266291a53162c49d78f29a5ff738cf66989189ef8050,0x329CfE850FF4CF637aa2353ef2D3672156E54d6C,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,6640496569488061626,8533430000000000000000,2,1707960024,55128716
0x28d71ecb658082c6bccc7821b242a07c6e5ff53ff65cd92350153ad386093c98,0xFe5000A4E2cD553Fc8cE9133de0ce80C6Ffc4FC8,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,2472375906759600497372,1160750000000000000000,2,1707957064,55118423
0xfba81887f5f0e7c3618328cfb0a32298dff07fe916c3a057a68adc72dd16e8c5,0xEEcafff217eAa6928c0cFD89be0613c518cc928E,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,0,0,1,1707953531,55109157
0x2de504fa8b19cc0cb9deb7abbec005004ca28f04a56f3c209274e2dac39f54e6,0xc445A4d722d2793BD351779378AA85fd45adeE84,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,214983029199306706034,98465000000000000000,2,1707949977,55099017
0xfe65da8af2274e8d8dfd1b7add7e0cc75f55abcfa43425a826e535a976828f6e,0xF446A474512900389C76b31998D1277914e7dE49,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,6650000000,5331500000000000000000,0,1707943889,55077274
0x544ddaf84957237e4bb7254ebb9599b78d5ecfca3075d6eb18534c1572cadd13,0x31DDDf4E2ac81403FA9b993CfBE4CA535a1656b5,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,210000000000000000,185900000000000000000,2,1707940311,55060271
0x3b43807f4ff1ca3d4fbedaf1874a025cc73d43d7e92e38271fa2249bb17e0b82,0x728E9EBcB91a354b112a1Ecf7Fd9eA8F1806bc5c,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,2834044948,2618000000000000000000,0,1707914281,54982872
0x2c03d122ea1abe2e541f7f855304c36a726ea6c2376216de4e6df9c580a6fab5,0xbA208F8Ba2fa377dfa9baE58A561D503C3F4d96C,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,3000000000000000000000,758750000000000000000,2,1707909836,54969148
0x14cad53c4191464b400251943dd611b8c6c7eb98741cdc6f716df4dac05ae824,0x8A97fE783d41CCCA8A5B8e858FB69D5c84b0445a,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,2000000000000000000000,608000000000000000000,0,1707886522,54876950
0xd2e6f96e3c23395923e591f92d738f38faa919e1939aac32143b3cf2a63a87b4,0xD0d9E3505349BC945A414A6EC8fF8bcaDAbF20e3,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1603013286068716154,2015000000000000000000,0,1707882047,54862575
0x2d43cf12e725c526c4e7311a82275510c6af2100c17b89e92bdab80019de1417,0xF21D82c520B3598cdafcb7Df697c69f30cAe051b,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,379596228979683910,708500000000000000000,0,1707879714,54854618
